Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Java Software Developer (PyCharm);https://omsk.hh.ru/vacancy/22623386?query=django; JetBrains;от 160 000 руб.;Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и др. Улучшать поддержку запуска, отладки и профилирования приложений. ;Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 3-х лет. 
Программист Python;https://omsk.hh.ru/vacancy/29773167?query=django; ФОГСТРИМ;57 000-104 000 руб.;Сопровождать/писать с нуля различные веб-сервисы на Python/Django.;Python/Django. Знаете, что такое декораторы, middleware, prefetch_related, Q и F объекты. JavaScript: jQuery, Ajax. В идеале еще и ExtJS...
Senior Software Developer (PyCharm);https://omsk.hh.ru/vacancy/22056926?query=django; JetBrains;от 180 000 руб.;Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и др. Улучшать поддержку запуска, отладки и профилирования приложений. ;Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 5-ти лет. 
Senior Software Engineer (PyCharm);https://omsk.hh.ru/vacancy/20458455?query=django; JetBrains;от 180 000 руб.;Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и др. Улучшать поддержку запуска, отладки и профилирования приложений. ;Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 5ти лет. 
Разработчик Python;https://omsk.hh.ru/vacancy/30392442?query=django; AdCombo.com;от 100 000 руб.;Разработка высоконагруженных систем распределения трафика. Участие в разработке архитектуры новых узлов и улучшения старых. Писать код с использованием Flask, SQLAlchemy...;Уверенное знание Python 3. Опыт работы с такими технологиями/фреймворками: Flask, SQLAlchemy. Английский язык на уровне чтения статей и технической...
Support Engineer (PyCharm);https://omsk.hh.ru/vacancy/28206107?query=django; JetBrains;от 130 000 руб.;Воспроизведение дефектов по репортам пользователей. Работа с баг-трекером.;Считаешь, что любой софт в первую очередь пишется для пользователей. Знаком с языком программирования Python в объеме достаточном для написания...
Python Developer;https://omsk.hh.ru/vacancy/31617240?query=django; Toughbyte;2 000-3 000 USD;Необходимое оборудование предоставляется по запросу.;Опыт работы от двух лет с Python (будет плюсом опыт с 3 версией) и Django. Знание БД SQL и NoSQL. 
Senior Python Developer;https://omsk.hh.ru/vacancy/31578004?query=django; EOtradex;от 3 000 EUR;;Опыт работы с WebSocket. Глубокое знание Python 3, Django, Celery, Aiohttp, Gunicorn. Знание Node.js. Postgres, Mysql, Redis, Elastic. 
Стажер-разработчик Python;https://omsk.hh.ru/vacancy/29836917?query=django; ФОГСТРИМ;от 23 000 руб.;Сопровождать/писать с нуля различные веб-сервисы на Python/Django. Теста.;Знать, что такое декораторы, middleware, prefetch_related, Q и F объекты. Работа с JavaScript: jQuery, Ajax. Любовь к красивому коду - он...
Full stack разработчик (Python + JavaScript);https://omsk.hh.ru/vacancy/31578119?query=django; Город Иннополис;80 000-150 000 руб.;Разработка клиентов приема-передачи данных на основе языка Python (прием/формирование данных по HTTPS в формате JSON-RPC, запись/получение...;Разработка в области Web -технологий от 1-го года. Уверенное знание и опыт применения Python (Django). Хорошее знание JavaScript, HTML...
Full stack разработчик (Python + JavaScript);https://omsk.hh.ru/vacancy/31578120?query=django; Город Иннополис;80 000-150 000 руб.;Разработка клиентов приема-передачи данных на основе языка Python (прием/формирование данных по HTTPS в формате JSON-RPC, запись/получение...;Разработка в области Web -технологий от 1-го года. Уверенное знание и опыт применения Python (Django). Хорошее знание JavaScript, HTML...
Full stack разработчик (Python + JavaScript);https://omsk.hh.ru/vacancy/31578121?query=django; Город Иннополис;80 000-150 000 руб.;Разработка клиентов приема-передачи данных на основе языка Python (прием/формирование данных по HTTPS в формате JSON-RPC, запись/получение...;Разработка в области Web -технологий от 1-го года. Уверенное знание и опыт применения Python (Django). Хорошее знание JavaScript, HTML...
Middle Backend developer;https://omsk.hh.ru/vacancy/30765499?query=django; Brandquad;60 000-120 000 руб.;Разработка backend для B2B SaaS. Разработка масштабируемых высоконагруженных решений. Создание новых компонентов, модулей системы. Оптимизация существующих систем.;Опыт работы Python разработчиком от 1 года. Знание PostgreSQL на уровне запросов и оптимизации запросов. Linux advanced user. Git.
Python Developer;https://omsk.hh.ru/vacancy/31547499?query=django; Investex Ltd;160 000-250 000 руб.;Проектировать и разрабатывать веб-сервисы на языке Python с использованием Django и/или Flask. Разрабатывать сложные системы взаимодействия с внешними...;Опыт проектирования и разработки сложных высоконагруженных систем. Отличные знания Python 3.6, Django/Flask, MySQL. Отличные знания общих вопросов программирования...
Python Developer;https://omsk.hh.ru/vacancy/31547395?query=django; Investex Ltd;160 000-250 000 руб.;Проектировать и разрабатывать веб-сервисы на языке Python с использованием Django и/или Flask. Разрабатывать сложные системы взаимодействия с внешними...;Опыт проектирования и разработки сложных высоконагруженных систем. Отличные знания Python 3.6, Django/Flask, MySQL. Отличные знания общих вопросов программирования...
Python-Разработчик/Python Developer;https://omsk.hh.ru/vacancy/31522357?query=django; BestDoctor;120 000-150 000 руб.;Backend-разработка внутренних продуктов. Участие в формировании технической стратегии BestDoctor и ее реализация. Проведение code review. Покрытие кодовой базы тестами.;Опыт работы с Django от года. Хорошее знание Git, PostgreSQL. Опыт работы с pytest/unittest. Хорошее знание Django ORM. 
Web-программист;https://omsk.hh.ru/vacancy/31582486?query=django; 1С-Коннект;50 000-70 000 руб.;"Участие в разработке, сопровождении и развитии облачных ресурсов нашего интернет-сервиса ""1С-Коннект"", в том числе высоконагруженных и телекоммуникационных.";Приветствуется знание PHP, Python, умение работать с virtualenv. Приветствуется знание Django, Tornado и асинхронных серверов. Умение работать в команде программистов. 
Senior Python developer в музыкальный стриминговый сервис Звук;https://omsk.hh.ru/vacancy/29647473?query=django; Звук;от 180 000 руб.;Программировать на Python 2/3, Go. Исправлять баги и оптимизировать производительность. Делать code review. Декомпозировать и оценивать трудоемкость задач. ;Python/Go, PostgreSQL, django/flask и другие сопутствующие технологии. Знание и применение на практике принципов микросервисной разработки (KISS, DRY, SOLID). 
Инженер-программист;https://omsk.hh.ru/vacancy/31772651?query=django;ОАО Концерн НПО Аврора;до 120 000 руб.;Разработка корпоративных web-приложений в составе рабочей группы. Координация работы рабочих групп - соисполнителей. Разработка программной документации.;Уверенное знание HTML, CSS, JS, Python (Django), PHP. Опыт самостоятельной разработки web-приложений на языке программирования Python (Django). 
Senior Python Developer.;https://omsk.hh.ru/vacancy/31534246?query=django; Effective;80 000-150 000 руб.;Разработка backend для Web приложения. Разработка панели администрирования на Vue.js. Интеграция с Machine Learning библиотекой для обработки видео. ;Опыт работы с Python 2.7 and Python 3.6. Опыт работы с Django, Celery. FFMPEG. Проектирование REST API. 
Старший Python-Разработчик/Senior Python Developer;https://omsk.hh.ru/vacancy/31522047?query=django; BestDoctor;170 000-230 000 руб.;Разработка backend-составляющей нового продукта. Интеграция продукта в существующую систему. Участие в формировании технической стратегии BestDoctor и ее реализация. ;Опыт работы с Django от двух лет. Хорошее знание Django ORM. Хорошее знание Git, PostgreSQL. Опыт работы с pytest/unittest. 
Главный специалист по разработке прикладного ПО;https://omsk.hh.ru/vacancy/31255428?query=django;ПАО Т Плюс;от 60 000 руб.;Разработка программного обеспечения по корпоративным проектам. Ведение документации: подготовка технических заданий, документирование программного кода. Работа с ТЗ. Проектирование схем БД. ;Знания в сфере web-разработки: Linux + Nginx, Pynthon + Django, PostgreSQL, PHP, приветствуется знание Laravel, опыт экспорта и импорта...
Backend разработчик;https://omsk.hh.ru/vacancy/31572240?query=django;ООО ТрэкТрэк;от 100 000 руб.;Вести и планировать бэкенд- и API-разработку сервиса агрегации и интеллектуального анализа новостей. Встраивать модели машинного обучения в production-версию...;Хорошее владение Python 3.6+. Уверенное знание Django + Django REST Framework, опыт коммерческой разработки и/или pet projects...
Программист 1 категории сетевого ПО;https://omsk.hh.ru/vacancy/31612390?query=django;АО Уфанет;50 000-50 000 руб.;Разработкой системы технического учета оборудования компании и инструментария поддержки работы системных администраторов. (Back-end + Front-end).;Знание языков: Python 2/3. Знание Django: ORM-запросы(select_related/prefetch_related, F, Q, annotate и т.д.), DRF. 
Стажер-программист;https://omsk.hh.ru/vacancy/31566778?query=django;ООО АйТи-Проекты;3 000-6 000 руб.;Обучение программированию модулей для информационной системы Odoo.;Опыт работы с системой git. Умение читать документацию на английском языке. Стек технологий сходный к фреймворку Django:
Ведущий разработчик;https://omsk.hh.ru/vacancy/31544060?query=django;ООО Специальная интеграция;от 150 000 руб.;Развитие архитектуры ИС, исследование и оценка перспектив использования новых технологий. Контроль качества и целостности архитектуры продукта на всем жизненном цикле. ;Опыт работы от 2-х лет на Python, Django, Flask. Опыт работы с СУБД PostgreSQL. Умение разбираться в чужом коде. 
Программист Python;https://omsk.hh.ru/vacancy/31271123?query=django;ООО ТД Технодар;45 000-75 000 руб.;Разработка, тестирование и поддержка REST API приложения. Взаимодействие с разработчиками базы данных и пользовательского интерфейса. Оптимизация серверного приложения для эффективной...;Опыт использования фреймворков для разработки web-приложений (Django, Ruby on Rails и прочие). Знание современных методов и средств проектирования, разработки...
