Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Web-разработчик (Python);https://omsk.hh.ru/vacancy/10061971?query=django; Доктор Веб;от 120 000 руб.;Разработка, поддержка и сопровождение сайтов и веб-сервисов компании.;Знание Python (опыт работы от 2-3 лет). Знание Django (другого аналогичного фреймворка). Знание SQL, плюсом будет опыт работы с...
Python-разработчик (Кипр, Лимассол);https://omsk.hh.ru/vacancy/26579688?query=django; Кадровое агентство Алексея Сухорукова;до 3 500 EUR;Работа в команде разработчиков финансовых инструментов, создание высоконагруженных и отказоустойчивых систем, внутренних продуктов с использованием современных технологий. Создание архитектуры баз...;Плюсом будет следующий опыт: Опыт разработки с использованием Django. Проектная работа в Jira, продвинутое использование Git. WEB технологии: HTML, CSS...
Middle Python developer;https://omsk.hh.ru/vacancy/29484191?query=django; Деньга;90 000-120 000 руб.;Работа в команде разработчиков финансовых инструментов, создание высоко нагруженных и отказоустойчивых систем. Работа над крупными интернет корпоративным проектом (собственное ПО). ;Продуктивный опыт разработки на Python/Django минимум 3 года. Продвинутые знания Postgres. Опыт работы с MongoDB, Redis, Celery. 
Senior Python Developer;https://omsk.hh.ru/vacancy/27534668?query=django; ПЕРВЫЙ ЦУПИС;от 115 000 руб.;Разрабатывать новые части системы (микросервисы, SOA). Переписывать сервисы с Java на Python. Проводить Code Review коллег. Покрывать написанный код тестами. ;Уверенное знание Python. Опыт работы с Django, DRF. Умение писать SQL запросы без использования ORM. Понимание REST API, SOA, асинхронной...
Python Developer;https://omsk.hh.ru/vacancy/30505061?query=django;ООО АпТрейдер (UpTrader);80 000-120 000 руб.;Design, build, and deploy software systems that run 24/7 at increasing scale. Develop custom tools and automate processes to...;Fluency in Python and Django. Strong knowledge of systems and application design, with an understanding of operational and reliability trade...
Программист Python (middle);https://omsk.hh.ru/vacancy/30567921?query=django;ООО Строительный Двор;100 000-150 000 руб.;использование тестов в процессе разработки, покрытие своего кода тестами. - работа в команде разработчиков. - качественное и своевременное исполнение задач web-проекта...;опыт работы от 2+ года в разработке Python, или других языках. - практический опыт работы с операционными системами семейства *nix. - 
Разработчик Python (Full stack);https://omsk.hh.ru/vacancy/28260446?query=django; МАГНИТ, Розничная сеть;до 100 000 руб.;Разработка клиентов приема-передачи данных на основе языка Python. Разработка клиентской части сервисов и приложений. Разработка среднего слоя приложений на...;Уверенное знание и опыт применения Python (Django, CherryPy, Flask и пр.). Хорошее знание JavaScript, HTML, CSS, jQuery, ExtJS. 
Технический руководитель;https://omsk.hh.ru/vacancy/31758458?query=django;ООО Дунайс;от 100 000 руб.;Разработка архитектуры IT-проектов. — Участие в планировании задач для команды.;Систематизация накопленного технического опыта в базе знаний компании. — Координация работы разработчиков, ревью кода. Необходимые навыки и знания: — Опыт работы не...
Python разработчик;https://omsk.hh.ru/vacancy/31543196?query=django; Точка;до 150 000 руб.;Ты будешь разрабатывать бэкенд интернет-банка, принимать архитектурные решения и участвовать в создании действительно масштабного проекта. Задачи по-настоящему разные...;Работал с Python 3.6, asyncio (async/await), веб-фреймоворками (aiohttp, flask, Django), ORM (peewee, SQLAlchemy, Django ORM). 
Middle Python разработчик;https://omsk.hh.ru/vacancy/31447266?query=django;ИП Sibdev;60 000-90 000 руб.;;Опыт от 2 лет. – Хорошее знание Python / Django. – Знание архитектурных и программных нюансов серверного приложения. – Возможно придется сталкиваться с фронтендом...
